with date dimension: 9
with total data point: 4177
file:./datasets/abalone.txt opened!
finished!
begin training...
 : : initial loss:  109.071
iters: 0  loss: 98.9192
iters: 1  loss: 90.3775
iters: 2  loss: 83.0431
iters: 3  loss: 76.6293
iters: 4  loss: 70.9465
iters: 5  loss: 65.8511
iters: 6  loss: 61.249
iters: 7  loss: 57.0616
iters: 8  loss: 53.2383
iters: 9  loss: 49.7312
iters: 10  loss: 46.5102
iters: 11  loss: 43.5426
iters: 12  loss: 40.8087
iters: 13  loss: 38.2839
iters: 14  loss: 35.9542
iters: 15  loss: 33.7999
iters: 16  loss: 31.8103
iters: 17  loss: 29.9691
iters: 18  loss: 28.2679
iters: 19  loss: 26.6929
iters: 20  loss: 25.2372
iters: 21  loss: 23.889
iters: 22  loss: 22.6428
iters: 23  loss: 21.4882
iters: 24  loss: 20.4208
iters: 25  loss: 19.4317
iters: 26  loss: 18.5171
iters: 27  loss: 17.6694
iters: 28  loss: 16.8855
iters: 29  loss: 16.1587
iters: 30  loss: 15.4865
iters: 31  loss: 14.863
iters: 32  loss: 14.2864
iters: 33  loss: 13.7514
iters: 34  loss: 13.2565
iters: 35  loss: 12.7971
iters: 36  loss: 12.3721
iters: 37  loss: 11.9774
iters: 38  loss: 11.6123
iters: 39  loss: 11.273
iters: 40  loss: 10.959
iters: 41  loss: 10.6672
iters: 42  loss: 10.397
iters: 43  loss: 10.1458
iters: 44  loss: 9.91314
iters: 45  loss: 9.69663
iters: 46  loss: 9.49612
iters: 47  loss: 9.30939
iters: 48  loss: 9.13639
iters: 49  loss: 8.97516
iters: 50  loss: 8.82574
iters: 51  loss: 8.68637
iters: 52  loss: 8.55716
iters: 53  loss: 8.43653
iters: 54  loss: 8.32463
iters: 55  loss: 8.22007
iters: 56  loss: 8.12303
iters: 57  loss: 8.03226
iters: 58  loss: 7.94797
iters: 59  loss: 7.86903
iters: 60  loss: 7.79567
iters: 61  loss: 7.72689
iters: 62  loss: 7.66293
iters: 63  loss: 7.60288
iters: 64  loss: 7.54699
iters: 65  loss: 7.49444
iters: 66  loss: 7.44549
iters: 67  loss: 7.3994
iters: 68  loss: 7.35641
iters: 69  loss: 7.31587
iters: 70  loss: 7.27802
iters: 71  loss: 7.24226
iters: 72  loss: 7.20884
iters: 73  loss: 7.1772
iters: 74  loss: 7.14759
iters: 75  loss: 7.11951
